	
🔨点播测试,#genre#
	
多屏1,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
多屏1,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
多屏2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001579/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
多屏2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001589/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

可能 程响,https://dghls.mcloud.139.com/hls/LNf7fe91bc41492763ef368d045b02f351/playlist.m3u8?ci=1811UaL6m35715520230407094155hv3&fileSize=61739461
一半疯了一半算了,https://dghls.mcloud.139.com/hls/LMb7541204d2ec9fdd32dd3b4c1a8ff07e/playlist.m3u8?ci=1811UaL6m357154202304070919508cv&fileSize=26567217
人生的道场,https://dghls.mcloud.139.com/hls/L5722088f6d101a3ccbcd0eaa3248c4b30/playlist.m3u8?ci=1811UaL6m35717820230407085612bm9&fileSize=60198542
联唱 曲中人,https://vd2.bdstatic.com/mda-pcjcisex2eexnjxu/sc/cae_h264/1679309413420105461/mda-pcjcisex2eexnjxu.mp4?v_from_s=bdapp-landingpage-api-nanjing
83射雕英雄传,https://apd-c8563feca1036030c42e8a12db56f03cfc3d24ffb179b4af.v.smtcdns.com/om.tc.qq.com/AUKKLiHpC4mCrEfFO-c1r8l0mzkqooxhr08bMiO7fR4w/B_9LhzPzw8agpeEeKUHV_JXhV-xP_jGeINAvABR-sg2Bk/svp_50001/szg_83555316_50001_8ee75dfc07c64bf69056ce8d4361f07d.f632.mp4?sdtfrom=v1010&guid=de8074815435d0d4&vkey=638D4A1B239ABC2B0741E9624DBA08660E46F1C20B994E407814C8D7202D01A99D734235DCCB1D8E8F369AFF0DAF8C395545B2D83518D49CA7521F7C77321A99D558DC083DB378AC90DE1817E9608935D11D56159A5D6E302AA05BD169F66A5566751DE022C6D5B2ECF72C9C9F73AC12A69B010E451CE19986615C1350897EA5#t=10.436838
卡拉永远OK7首,https://vd3.bdstatic.com/mda-pc8a0gqt8ejzvuew/sc/cae_h264/1678346689253628951/mda-pc8a0gqt8ejzvuew.mp4?v_from_s=bdapp-bdappcore-feed-nanjing
可可托海的牧羊人7首,https://vd3.bdstatic.com/mda-pcm79cia9847siip/sc/cae_h264/1679463420263311930/mda-pcm79cia9847siip.mp4?v_from_s=bdapp-landingpage-api-nanjing
DJ亚楠10首,https://vd2.bdstatic.com/mda-pcbbfkai83kg3z8d/sc/cae_h264/1678610903860077580/mda-pcbbfkai83kg3z8d.mp4?v_from_s=bdapp-landingpage-api-nanjing
早安隆回8首联唱,https://vd3.bdstatic.com/mda-pcbkwz1m0hu2kmtw/sc/cae_h264/1678635403598922954/mda-pcbkwz1m0hu2kmtw.mp4?v_from_s=bdapp-landingpage-api-nanjing
特别的爱给特别的你7首联唱,https://vd3.bdstatic.com/mda-pcb3g546hjnw7ib9/sc/cae_h264/1678590467698779497/mda-pcb3g546hjnw7ib9.mp4?v_from_s=bdapp-landingpage-api-nanjing
大海8首联唱,https://vd2.bdstatic.com/mda-pc6mf6xkvrpkgwez/sc/cae_h264/1678232143215045150/mda-pc6mf6xkvrpkgwez.mp4?v_from_s=bdapp-bdappcore-feed-nanjing
说说城投债,https://dghls.mcloud.139.com/hls/L7bac1c8cf29dd103ae07559b718cc7744/playlist.m3u8?ci=1811UaL6m35717820230326144249htp&fileSize=99888100
GPT AI 上头了,https://dghls.mcloud.139.com/hls/LQa5938373cd2d3f2258ccebd144243ac2/playlist.m3u8?ci=1811UaL6m35715520230326100538far&fileSize=102968485
舞蹈风暴 媚-朱瑾慧,https://vd2.bdstatic.com/mda-kk6zthqum9vg7gsu/sc/mda-kk6zthqum9vg7gsu.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1679794338-0-0-029ccedc7fca4b3526e6ab4bb8366a5e&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=0138052006&vid=4775065995535839729&abtest=107354_2-107353_1&klogid=0138052006
GPT进化插件,https://dghls.mcloud.139.com/hls/LAc9ad446cbf85e5f9c206822b7b060f4b/playlist.m3u8?ci=1811UaL6m35717720230325201335xs2&fileSize=29982759
萌娃,https://dghls.mcloud.139.com/hls/LQd5fb196994000a0fae17424c78f0aec9/playlist.m3u8?ci=1811UaL6m35715720230321111235s7c&fileSize=29332669
萌娃籼籼,https://dghls.mcloud.139.com/hls/LPc6e4af053edc65ed6977cef64cb6c611/playlist.m3u8?ci=1811UaL6m35715820230321112551n7j&fileSize=40788701
东北萌娃,https://dghls.mcloud.139.com/hls/LP5253e334967dc5c7670fb563c51a122b/playlist.m3u8?ci=1811UaL6m357177202303211126559re&fileSize=22106831
女生版太想念,https://dghls.mcloud.139.com/hls/LR52c5f31b851d9da7cf4b1981077e7faf/playlist.m3u8?ci=1811UaL6m35715420230321113802rlt&fileSize=24311894
